ID_DATE,DATE_SNAPSHOT,NUMERO_SEMAINE,NOM_MOIS,ANNEE,NUM_TRIMESTRE,INTITULE_TRIMESTRE,NB_JOURS_FERIES,FLAG_ANNEE_BISSEXTILE
765,04/02/2012,5,February ,2012,1,T1,0,O
766,05/02/2012,5,February ,2012,1,T1,0,O
767,06/02/2012,6,February ,2012,1,T1,0,O
768,07/02/2012,6,February ,2012,1,T1,0,O
769,08/02/2012,6,February ,2012,1,T1,0,O
770,09/02/2012,6,February ,2012,1,T1,0,O
771,10/02/2012,6,February ,2012,1,T1,0,O
772,11/02/2012,6,February ,2012,1,T1,0,O
773,12/02/2012,6,February ,2012,1,T1,0,O
774,13/02/2012,7,February ,2012,1,T1,0,O
775,14/02/2012,7,February ,2012,1,T1,0,O
776,15/02/2012,7,February ,2012,1,T1,0,O
777,16/02/2012,7,February ,2012,1,T1,0,O
778,17/02/2012,7,February ,2012,1,T1,0,O
779,18/02/2012,7,February ,2012,1,T1,0,O
780,19/02/2012,7,February ,2012,1,T1,0,O
781,20/02/2012,8,February ,2012,1,T1,0,O
782,21/02/2012,8,February ,2012,1,T1,0,O
783,22/02/2012,8,February ,2012,1,T1,0,O
784,23/02/2012,8,February ,2012,1,T1,0,O
785,24/02/2012,8,February ,2012,1,T1,0,O
786,25/02/2012,8,February ,2012,1,T1,0,O
787,26/02/2012,8,February ,2012,1,T1,0,O
788,27/02/2012,9,February ,2012,1,T1,0,O
789,28/02/2012,9,February ,2012,1,T1,0,O
790,29/02/2012,9,February ,2012,1,T1,0,O
791,01/03/2012,9,March    ,2012,1,T1,0,O
792,02/03/2012,9,March    ,2012,1,T1,0,O
793,03/03/2012,9,March    ,2012,1,T1,0,O
794,04/03/2012,9,March    ,2012,1,T1,0,O
795,05/03/2012,10,March    ,2012,1,T1,0,O
796,06/03/2012,10,March    ,2012,1,T1,0,O
797,07/03/2012,10,March    ,2012,1,T1,0,O
798,08/03/2012,10,March    ,2012,1,T1,0,O
799,09/03/2012,10,March    ,2012,1,T1,0,O
800,10/03/2012,10,March    ,2012,1,T1,0,O
801,11/03/2012,10,March    ,2012,1,T1,0,O
802,12/03/2012,11,March    ,2012,1,T1,0,O
